url,region,price,year,manufacturer,model,condition,fuel,odometer,transmission,drive,type,description,state,lat,long,posting_date,vehicle_age,vehicle_label,market_median_price,deal_score
https://annarbor.craigslist.org/ctd/d/ann-arbor-2020-lincoln-corsair-reserve/7302688498.html,ann arbor,39990,2020.0,lincoln,corsair reserve sport,good,gas,7469.0,other,fwd,other,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience that allows all customers to buy and trade their cars without ever leaving the safety of their house, w",mi,42.27,-83.73,2021-04-06T13:31:28-0400,5.0,2020 Lincoln Corsair Reserve Sport,39990.0,0.0
https://charlotte.craigslist.org/ctd/d/statesville-2014-ford-350-sd-crew-cab/7310967102.html,charlotte,37165,2014.0,ford,f-350,excellent,diesel,149272.0,automatic,4wd,truck,"2014 Ford F-350 Crew Cab 4x4 diesel has automatic transmission with 149,272 miles on it. All power options, back up camera, navigation, sunroof, Bluetooth, power heated leather seats, factory chrome wheels, new Michelin tires, bed liner, tow package, 6.7 L power stroke turbo diesel engine, 8 foot be",nc,35.833804,-80.873557,2021-04-22T14:29:29-0400,11.0,2014 Ford F-350,39995.0,2830.0
https://hudsonvalley.craigslist.org/ctd/d/rensselaer-2016-gmc-sierra-3500hd-base/7315722702.html,hudson valley,59997,2016.0,gmc,sierra 3500hd,excellent,diesel,30223.0,automatic,4wd,pickup,"2016 *** GMC Sierra 3500HD DUMP TRUCK Pickup ***    Ready To Upgrade Your Ride Today? We Make It Fast & Easy!Call (or text) ☏ (518) 444-4875  Michaels Auto Plaza 601 columbia turnpike, east greenbush, NY 12061Copy & Paste the URL belowto view more information!http://michaelsautoplaza.net/cars/141443",ny,42.598179,-73.708295,2021-05-02T10:01:10-0400,9.0,2016 Gmc Sierra 3500Hd,56687.0,-3310.0
https://hickory.craigslist.org/ctd/d/mini-cooper-countryman-panoramic/7309101768.html,hickory / lenoir,12998,2014.0,mini,countryman,,gas,45353.0,manual,fwd,suv,"2014 MINI Cooper Countryman Panoramic Sunroof Manual Transmission We Finance!Price: $12,998.00Call Today  888-728-7443    We Deliver, We Will Ship to your Door!You can Fill out a Free Super Quick Pre-Approval Credit Application here!Instant Online Approvals!    Text us at   855-440-1126Copy The Link",nc,,,2021-04-19T01:59:21-0400,11.0,2014 Mini Countryman,12998.0,0.0
https://stgeorge.craigslist.org/ctd/d/reno-2010-toyota-tacoma-4wd-access-v6/7304514597.html,st george,24995,2010.0,toyota,tacoma,excellent,gas,113851.0,other,4wd,truck,"Located at CarZone #1: 3250 Kietzke Lane, between Subway and Big-O Tires!Internet Price: $24,995  2010 - Toyota - Tacoma - 4WD Access V6 MT (Natl) with 113,851 miles.  Stock #: 718186 VIN:  5TEUU4EN8AZ718186 Vehicle has a 4WD   6 Speed Transmission with Pyrite Mica Exterior.  This    local  NV Truck",ut,39.494492,-119.78862,2021-04-09T20:19:44-0600,15.0,2010 Toyota Tacoma,16999.0,-7996.0
https://spacecoast.craigslist.org/cto/d/merritt-island-jaguar-xk8-convertible/7316374519.html,space coast,9900,1996.0,jaguar,xk8 convertible,good,gas,96000.0,automatic,rwd,convertible,1997 Jaguar XK8  96k miles Top in excellent condition  New Interstate battery  Very good condition  Runs great Owner can no longer drive due to a vision problem $9900,fl,28.2764,-80.6568,2021-05-03T15:30:57-0400,29.0,1996 Jaguar Xk8 Convertible,9900.0,0.0
https://asheville.craigslist.org/ctd/d/east-flat-rock-2018-nissan-rogue-sl/7308699943.html,asheville,22999,2018.0,nissan,rogue,,gas,51872.0,automatic,fwd,,"Bryan Easler Toyota address:    1409 Spartanburg Hwy Hendersonville NC, 28792phone:      ☎ (828) 475-4295 ext 24text:       Text 24 to (828) 475-4295 for more details  link:       http://13365.cleancarsorg.com/v/43026717/2/22294841/24  contact:    Philip Mullinax   2018 NISSAN ROGUE SL Vehicle InfoS",nc,35.299465,-82.439768,2021-04-18T09:46:44-0400,7.0,2018 Nissan Rogue,20486.5,-2512.5
https://albuquerque.craigslist.org/ctd/d/albuquerque-2016-chevy-chevrolet/7314794980.html,albuquerque,34590,2016.0,chevrolet,silverado 1500 double,good,gas,29499.0,other,4wd,pickup,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience that allows all customers to buy and trade their cars without ever leaving the safety of their house, w",nm,35.11,-106.62,2021-04-30T08:41:35-0600,9.0,2016 Chevrolet Silverado 1500 Double,34590.0,0.0
https://sacramento.craigslist.org/cto/d/elk-grove-2008-honda-accord-low-miles/7316829439.html,sacramento,5600,2008.0,honda,accord ex-l,good,gas,101000.0,automatic,,,"2008 Honda Accord EX-L V6, Only 101K Miles!! Registered, Smogged Title in hand. Car runs great, good on gas and has lots of life left on car. Salvage title due to front end damage done 70k miles ago, but been fixed as seen in pictures, would never know car was in accident.  Low miles, 101K Power Eve",ca,38.4232,-121.3599,2021-05-04T10:54:03-0700,17.0,2008 Honda Accord Ex-L,7497.0,1897.0
https://columbiamo.craigslist.org/ctd/d/columbia-2016-ford-fusion/7311818745.html,columbia / jeff city,12995,2016.0,ford,fusion se,excellent,gas,76209.0,automatic,fwd,sedan,"2016 FORD FUSION    2016 Ford Fusion SE with Eco-Boost engine, power seat, alloy wheels, CD player, power windows, power locks, power mirrors, tilt steering and cruise control. Check out this affordable late model sedan at 1106 I 70 Dr SW, next to Cheddars. Open 9-5:30 Monday thru Thursday, 9-5 Frid",mo,38.964708,-92.354035,2021-04-24T08:53:12-0500,9.0,2016 Ford Fusion Se,12234.5,-760.5
https://maine.craigslist.org/ctd/d/plaistow-2005-honda-element-4wd-lx-at/7310019275.html,maine,6900,2005.0,honda,element,excellent,gas,159221.0,other,4wd,wagon,"2005 Honda Element 4WD LX AT - $6,900 Year: 2005 Make: Honda Model: Element VIN: 5J6YH28385L033835 Stock # 3993 Mileage: 159,221 Color: Silver Trim: 4WD LX AT Engine: 2.4L DOHC MPFI 16-valve i-VTEC I4 engine Trans: Select Seller's Comments: 2005 HONDA ELEMENT 4WD LX, 2.4L L4, POWER WINDOWS/MIRRORS/L",me,42.838576,-71.10688,2021-04-20T16:35:22-0400,20.0,2005 Honda Element,6450.0,-450.0
https://eauclaire.craigslist.org/cto/d/champlin-2017-ford-150xlt-crew/7304593051.html,eau claire,19650,2017.0,ford,f150,excellent,gas,196000.0,automatic,4wd,,"I have a very nice 2017 Ford F-150 XLT 4 wheel drive crew cab with tow package... 5.0L V8...196000 miles This truck is very loaded with power seats, power pedals ,Windows ,locks tilt ,cruise, rear backup cam, trailer backup assist... and much more Just serviced with no mechanical issues runs perfect",wi,45.230385,-93.381729,2021-04-10T07:04:15-0500,8.0,2017 Ford F150,29905.0,10255.0
https://sacramento.craigslist.org/ctd/d/vacaville-2003-gmc-sierra-2500hd-slt/7316810925.html,sacramento,10787,2003.0,gmc,sierra 2500hd,excellent,gas,195844.0,automatic,rwd,truck,2003 GMC Sierra 2500HD SLT - Pewter Metallic   Available at:  	☎ Phone: (916) 507-1211 ext: 0170 	TEXT 0170 followed by your message to (916) 507-1211  ✍ Vehicle Website:  http://classifieds.usedcar.zone/r?P=16107937&U=1 ♐ FINANCE APPLICATION:  http://classifieds.usedcar.zone/r?P=16107937&U=3     	Y,ca,38.37368,-121.95161,2021-05-04T10:25:19-0700,22.0,2003 Gmc Sierra 2500Hd,14472.5,3685.5
https://philadelphia.craigslist.org/ctd/d/spotswood-2013-gmc-terrain-sle-4dr-suv/7310366249.html,philadelphia,8800,2013.0,gmc,terrain,,gas,115196.0,automatic,fwd,suv,"2013 GMC Terrain SLE 1 4dr SUV -- $8,800       ☎ Call: (732) 844-8879  ext 10388  📱 Text  10388 to  (732) 844-8879 Vehicle Information: 2013 GMC Terrain SLE 1 4dr SUVPrice:  $8,800    Year:  2013*      Make:  *GMC**      Model:  *Terrain**      Series:  *SLE 1 4dr SUV**      Body Style:  SUV*    Sto",pa,40.40825,-74.372882,2021-04-21T12:04:58-0400,12.0,2013 Gmc Terrain,10999.0,2199.0
https://louisville.craigslist.org/ctd/d/louisville-2013-mitsubishi-outlander/7303479888.html,louisville,10925,2013.0,mitsubishi,outlander sport,excellent,gas,98765.0,automatic,4wd,suv,"Quality Pre Owned Cars Trucks and SUV's at Fantastic Prices - burnsautomart 'dot' com****3 to 5 year, 100,000 Mile Warranties available on ALL of our Quality Pre Owned Vehicles with $0 Deductible****                                                                  $0-Down 0 Payments up to 90 Days Av",ky,38.159627,-85.697708,2021-04-07T22:39:57-0400,12.0,2013 Mitsubishi Outlander Sport,10500.0,-425.0
https://longisland.craigslist.org/cto/d/huntington-station-cash-for-cars-same/7312981857.html,long island,10000,2014.0,honda,accord,fair,gas,50000.0,automatic,,,CASH FOR CARS CASH FOR JUNK CASH FOR SCRAP CARS ANY CONDITION  ANY YEAR NO TITLE NO PROBLEM LIENS NO PROBLEM CASH FOR RUNNING AND FIXER UPPERS TODAY. CALL 6 3 1 -- 8 9 6  1 8 5 8. FREE QUOTE OVER THE PHONE,ny,40.8143,-73.3634,2021-04-26T15:38:58-0400,11.0,2014 Honda Accord,12991.0,2991.0
https://cnj.craigslist.org/ctd/d/trenton-2014-gmc-sierra-1500-crew-cab/7316919477.html,central nj,33590,2014.0,gmc,sierra 1500 crew cab slt,good,gas,57923.0,other,,pickup,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience that allows all customers to buy and trade their cars without ever leaving the safety of their house, w",nj,40.22,-74.76,2021-05-04T16:21:32-0400,11.0,2014 Gmc Sierra 1500 Crew Cab Slt,33590.0,0.0
https://westernmass.craigslist.org/ctd/d/springfield-2014-mercedes-benz-sl-class/7307086939.html,western massachusetts,44990,2014.0,mercedes-benz,sl-class sl 550,good,gas,39525.0,automatic,rwd,other,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience that allows all customers to buy and trade their cars without ever leaving the safety of their house, w",ma,42.11,-72.53,2021-04-15T06:40:30-0400,11.0,2014 Mercedes-Benz Sl-Class Sl 550,46990.0,2000.0
https://newjersey.craigslist.org/ctd/d/parlin-2020-hyundai-elantra/7310580129.html,north jersey,14894,2020.0,hyundai,elantra value edition ivt,,,33009.0,automatic,fwd,sedan,***Call Us for more information at: 732-316-5555***  Visit us online www.paylesscarsnj.comPayments as low as $49.00 weekly - Down payment as low as $499.00 - Buy Here Pay Here... 100% Guaranteed Approval - Everyone Drives! Why Buy from Us:  -First Time-buyer program -Rates as low as 2.99% -Please re,nj,40.46865,-74.29699,2021-04-21T18:00:14-0400,5.0,2020 Hyundai Elantra Value Edition Ivt,14894.0,0.0
https://greenville.craigslist.org/cto/d/drayton-2011-honda-cr-ex-speed-107kmiles/7312514858.html,greenville / upstate,4700,2011.0,honda,cr-z,good,gas,107000.0,manual,fwd,,2011 Honda CR-Z 6 speed runs and drives great has salvage title  show contact info,sc,34.9803,-81.9168,2021-04-25T16:52:47-0400,14.0,2011 Honda Cr-Z,7988.0,3288.0
https://chico.craigslist.org/ctd/d/chico-2018-toyota-tacoma-access-cab-sr5/7311909050.html,chico,29990,2018.0,toyota,tacoma access cab sr5,good,other,20624.0,other,,pickup,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience that allows all customers to buy and trade their cars without ever leaving the safety of their house, w",ca,39.71,-121.81,2021-04-24T09:30:57-0700,7.0,2018 Toyota Tacoma Access Cab Sr5,29990.0,0.0
https://kpr.craigslist.org/ctd/d/kittitas-2017-chevy-cruze-lt-heated/7311481680.html,kennewick-pasco-richland,15899,2017.0,chevrolet,cruze,excellent,gas,49202.0,automatic,,,"ＷＩＮＤＹ ＣＨＥＶＲＯＬＥＴ  ⭐ No Payments For 90 Days*  ⭐ $0 Down Payment Required*  ⭐ New Vehicle Rates As Low As 0% / Used Vehicle Rates As Low As 0.99%*  ⭐ Top Dollar For Trades, No Matter How Much You Owe!*  ✅ 100% CREDIT APPROVAL IS OUR GOAL!  𝗧𝗲𝘅𝘁 𝗼𝘂𝗿 𝗜𝗻𝘁𝗲𝗿𝗻𝗲𝘁 𝗠𝗮𝗻𝗮𝗴𝗲𝗿 𝗕𝗿𝗮𝗻𝗱𝗼𝗻 𝗮𝘁 (𝟱𝟬𝟵) 𝟵𝟮𝟵-𝟭𝟬𝟮𝟵 to start y",wa,46.9996,-120.5163,2021-04-23T11:31:21-0700,8.0,2017 Chevrolet Cruze,13500.0,-2399.0
https://nashville.craigslist.org/ctd/d/nashville-2015-ram/7313319328.html,nashville,16900,2015.0,ram,1500,,,156756.0,automatic,4wd,pickup,"2015 *Ram* *1500* 2015 RAM1500,Tradesman,4x4,5.7L HEMI Engine,Nice work truck. - $16,900Call Us Today! 615-678-7444Text Us Today! 615-598-4888Ram_ 1500_ For Sale by Trucks & Vans  Vehicle Description For This *Ram* *1500*View additional pictures and details This Ram_ 1500_ at: http://next-ride-motor",tn,36.141329,-86.738296,2021-04-27T10:01:05-0500,10.0,2015 Ram 1500,23900.0,7000.0
https://yakima.craigslist.org/ctd/d/pasco-2019-ford-150-lariat-fx4-4x4/7311557678.html,yakima,52999,2019.0,ford,f150 lariat fx4 4x4 1/2 ton,,gas,24406.0,automatic,4wd,truck,"2019 Ford F150 Lariat FX4 4x4 **One Owner 4x4 Truck With Backup Camera!**  WANT TO FIND OUT MORE ABOUT THIS VEHICLE? Copy the link below and paste it into your browser:  https://www.nwmsrocks.com/i/126001  📱 or Text ""83192"" to 509-412-3404     We've got experts standing by for you, call 509-412-3404",wa,46.234838,-119.128015,2021-04-23T13:36:58-0700,6.0,2019 Ford F150 Lariat Fx4 4X4 1/2 Ton,52999.0,0.0
https://pittsburgh.craigslist.org/ctd/d/pittsburgh-2019-caddy-cadillac-xt5/7306831919.html,pittsburgh,37990,2019.0,cadillac,xt5 luxury sport,good,gas,9232.0,other,,suv,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience that allows all customers to buy and trade their cars without ever leaving the safety of their house, w",pa,40.43,-79.97,2021-04-14T15:21:19-0400,6.0,2019 Cadillac Xt5 Luxury Sport,37990.0,0.0
https://orangecounty.craigslist.org/ctd/d/orange-jeep-4x-jeep-renegade-limited/7314325188.html,orange county,16997,2016.0,jeep,renegade bad credit,like new,gas,43000.0,automatic,4wd,suv,"😍 We are very pleased to offer for sale this ONE OWNER 2016 Jeep Renegade ""Limited 4x4""  with ""Only 43k miles!!""  It comes fully loaded with leather interior, Bluetooth, panoramic sunroof, power windows, doorlocks,  cruise control, and so much more.  This cool Jeep has been meticulously maintained s",ca,33.788216,-117.833248,2021-04-29T08:23:12-0700,9.0,2016 Jeep Renegade Bad Credit,16997.0,0.0
https://albuquerque.craigslist.org/ctd/d/albuquerque-2017-nissan-frontier-king/7311305456.html,albuquerque,23590,2017.0,nissan,frontier king cab sv,good,other,29935.0,other,fwd,pickup,"Carvana is the safer way to buy a car During these uncertain times, Carvana is dedicated to ensuring safety for all of our customers. In addition to our 100% online shopping and selling experience that allows all customers to buy and trade their cars without ever leaving the safety of their house, w",nm,35.11,-106.62,2021-04-23T07:51:10-0600,8.0,2017 Nissan Frontier King Cab Sv,23590.0,0.0
https://elpaso.craigslist.org/cto/d/el-paso-2010-volkswagen-jetta-tdi/7308366794.html,el paso,2500,2010.0,volkswagen,jetta diesels tdi fwd,,diesel,91903.0,automatic,,,"En venta jetta 2010 TDI , titulo salvage con 91,903 millas ,  4 cilindros, acientos de piel, automatico, diésel. Detalles del carro: pocos detalles de carroceria, le falta todas las partes de la parrilla frontal, el carro si funciona pero al momento de acelerar no desarrolla bien las velocidades, pa",tx,31.7584,-106.4783,2021-04-17T12:12:45-0600,15.0,2010 Volkswagen Jetta Diesels Tdi Fwd,2500.0,0.0
https://lakecity.craigslist.org/cto/d/lake-city-cadillac-cts/7312863141.html,north central fl,5500,2008.0,cadillac,cts,good,gas,196000.0,automatic,,,"2008 Cadillac CTS good condition runs good cold a/c sunroof and moonroof needs tires but is driveable. 196,000 miles on it, not ragged out every day driver for a mom with 2 kids to and from school and work we just purchased a new car no longer needs this. Clean title in hand",fl,30.1055,-82.6878,2021-04-26T12:38:11-0400,17.0,2008 Cadillac Cts,7698.5,2198.5
